Gmt time,Open,High,Low,Close,Volume
03.09.2007 00:00:00.000,0.82127,0.82387,0.82057,0.82327,1282.47
03.09.2007 04:00:00.000,0.82337,0.82387,0.82057,0.82137,1002.0199999999999
03.09.2007 08:00:00.000,0.82127,0.82197,0.81887,0.82017,882.9
03.09.2007 12:00:00.000,0.81957,0.82137,0.81947,0.82117,371.33
03.09.2007 16:00:00.000,0.82107,0.82357,0.82037,0.82037,823.97
03.09.2007 20:00:00.000,0.82047,0.82537,0.81987,0.82447,1617.03
04.09.2007 00:00:00.000,0.82437,0.82707,0.82327,0.82357,1760.78
04.09.2007 04:00:00.000,0.82367,0.82567,0.82247,0.82417,1945.3899999999999
04.09.2007 08:00:00.000,0.82427,0.82697,0.82287,0.82407,2812.48
04.09.2007 12:00:00.000,0.82417,0.82437,0.82147,0.82387,1287.16
04.09.2007 16:00:00.000,0.82377,0.82857,0.82357,0.82797,923.48
04.09.2007 20:00:00.000,0.82787,0.82837,0.82347,0.82497,1450.9099999999999
05.09.2007 00:00:00.000,0.82487,0.82507,0.81837,0.81907,2742.58
05.09.2007 04:00:00.000,0.81917,0.82317,0.81907,0.82077,1791.01
05.09.2007 08:00:00.000,0.82087,0.82477,0.81817,0.82427,3502.61
05.09.2007 12:00:00.000,0.82417,0.82657,0.82147,0.82277,1550.8200000000002
05.09.2007 16:00:00.000,0.82287,0.82337,0.81877,0.82027,1153.58
05.09.2007 20:00:00.000,0.82017,0.82447,0.81977,0.82307,1847.5900000000001
06.09.2007 00:00:00.000,0.82317,0.82567,0.82207,0.82487,1295.12
06.09.2007 04:00:00.000,0.82507,0.82757,0.82237,0.82407,1701.6399999999999
06.09.2007 08:00:00.000,0.82417,0.82827,0.82337,0.82737,2187.62
06.09.2007 12:00:00.000,0.82747,0.82887,0.82617,0.82877,687.3700000000001
06.09.2007 16:00:00.000,0.82887,0.82967,0.82827,0.82857,462.27
06.09.2007 20:00:00.000,0.82867,0.82947,0.82677,0.82767,843.5
07.09.2007 00:00:00.000,0.82757,0.82777,0.82647,0.82737,971.68
07.09.2007 04:00:00.000,0.82727,0.82737,0.82547,0.82677,1195.8500000000001
