iter	Passed	Remaining
405	7002	10245
406	7019	10227
407	7045	10223
408	7063	10206
409	7078	10185
410	7094	10167
411	7108	10144
412	7125	10128
413	7141	10108
414	7157	10089
415	7171	10068
416	7187	10048
417	7205	10032
418	7222	10014
419	7239	9997
420	7258	9983
421	7282	9974
422	7299	9956
423	7313	9935
424	7328	9915
425	7346	9899
426	7364	9883
427	7377	9860
428	7393	9841
429	7407	9818
430	7427	9806
431	7448	9793
432	7464	9775
433	7480	9756
434	7497	9738
435	7511	9716
436	7525	9695
437	7545	9681
438	7560	9661
439	7580	9647
440	7594	9626
441	7613	9611
442	7629	9592
443	7650	9579
444	7667	9562
445	7684	9545
446	7699	9525
447	7720	9512
448	7742	9501
449	7757	9481
450	7776	9466
451	7791	9446
452	7807	9427
453	7820	9405
454	7837	9388
455	7852	9367
456	7871	9352
457	7888	9335
458	7905	9317
459	7925	9303
460	7939	9282
461	7955	9264
462	7973	9248
463	7990	9230
464	8009	9215
465	8022	9193
466	8038	9174
467	8056	9158
468	8071	9138
469	8085	9117
470	8104	9102
471	8120	9084
472	8143	9072
473	8162	9058
474	8180	9041
475	8200	9027
476	8214	9007
477	8232	8989
478	8258	8982
479	8275	8964
480	8292	8947
481	8313	8934
482	8329	8915
483	8348	8900
484	8362	8879
485	8375	8857
486	8389	8837
487	8405	8818
488	8418	8797
489	8440	8784
490	8460	8770
491	8479	8754
492	8492	8733
493	8507	8713
494	8521	8693
495	8535	8673
496	8548	8651
497	8561	8630
498	8578	8613
499	8600	8600
500	8620	8585
501	8639	8571
502	8656	8553
503	8674	8536
504	8687	8515
505	8705	8498
506	8719	8479
507	8736	8461
508	8748	8439
509	8766	8422
510	8784	8406
511	8804	8391
512	8819	8372
513	8836	8355
514	8852	8337
515	8869	8319
516	8886	8302
517	8907	8288
518	8920	8267
519	8934	8247
520	8953	8231
521	8968	8212
522	8982	8192
523	8997	8173
524	9012	8153
525	9031	8138
526	9049	8122
527	9068	8106
528	9087	8091
529	9102	8071
530	9121	8056
531	9135	8036
532	9151	8018
533	9165	7998
534	9181	7980
535	9197	7962
536	9215	7945
537	9237	7932
538	9256	7917
539	9272	7898
540	9295	7886
541	9314	7870
542	9329	7851
543	9346	7834
544	9361	7815
545	9379	7799
546	9399	7784
547	9413	7764
548	9428	7745
549	9447	7729
550	9465	7713
551	9487	7699
552	9507	7684
553	9524	7667
554	9541	7650
555	9558	7632
556	9584	7623
557	9602	7606
558	9628	7596
559	9651	7583
560	9673	7570
561	9691	7552
562	9720	7544
563	9736	7526
564	9755	7511
565	9776	7496
566	9793	7479
567	9808	7459
568	9827	7443
569	9843	7425
570	9873	7418
571	9895	7404
572	9912	7386
573	9934	7372
574	9958	7360
575	9980	7346
576	10007	7336
577	10031	7323
578	10050	7307
579	10073	7294
580	10095	7280
581	10114	7264
582	10133	7247
583	10158	7236
584	10177	7220
585	10202	7207
586	10223	7193
587	10242	7176
588	10263	7162
589	10290	7151
590	10308	7134
591	10325	7115
592	10346	7101
593	10367	7086
594	10388	7071
595	10410	7056
596	10433	7043
597	10458	7030
598	10472	7010
599	10489	6992
600	10508	6976
601	10524	6958
602	10541	6940
603	10555	6920
604	10570	6901
605	10585	6882
606	10601	6863
607	10618	6845
608	10633	6827
609	10648	6808
610	10665	6790
611	10689	6776
612	10708	6760
613	10722	6741
614	10744	6726
615	10763	6709
616	10779	6691
617	10795	6673
618	10811	6654
619	10830	6637
620	10853	6623
621	10871	6606
622	10891	6590
623	10911	6574
624	10929	6557
625	10944	6538
626	10965	6523
627	10985	6507
628	10998	6487
629	11011	6466
630	11026	6448
631	11047	6432
632	11061	6413
633	11079	6395
634	11091	6375
635	11107	6357
636	11125	6340
637	11148	6325
638	11161	6305
639	11174	6285
640	11190	6267
641	11207	6249
642	11227	6233
643	11243	6215
644	11262	6198
645	11277	6180
646	11291	6160
647	11303	6140
648	11318	6121
649	11334	6103
650	11357	6088
651	11370	6068
652	11390	6053
653	11407	6035
654	11421	6016
655	11439	5998
656	11451	5978
657	11470	5962
658	11487	5944
659	11504	5926
660	11516	5906
661	11535	5889
662	11549	5870
663	11563	5851
664	11582	5834
665	11599	5817
666	11613	5798
667	11628	5779
668	11649	5763
669	11661	5743
670	11676	5725
671	11691	5706
672	11707	5688
673	11724	5670
674	11740	5652
675	11757	5635
676	11773	5617
677	11790	5599
678	11809	5582
679	11835	5569
680	11852	5552
681	11872	5536
682	11893	5520
683	11914	5504
684	11933	5487
685	11955	5472
686	11970	5454
687	11991	5437
688	12005	5419
689	12027	5403
690	12042	5384
691	12054	5365
692	12068	5346
693	12083	5328
694	12096	5308
695	12110	5289
696	12130	5273
697	12143	5254
698	12161	5236
699	12175	5218
700	12196	5202
701	12213	5184
702	12230	5167
703	12246	5149
704	12261	5130
705	12278	5113
706	12290	5093
707	12307	5075
708	12326	5059
709	12344	5042
710	12360	5024
711	12373	5005
712	12387	4986
713	12400	4967
714	12418	4950
715	12436	4932
716	12458	4917
717	12472	4898
718	12486	4879
719	12499	4860
720	12514	4842
721	12527	4823
722	12546	4806
723	12561	4788
724	12575	4770
725	12590	4751
726	12610	4735
727	12627	4718
728	12645	4701
729	12667	4685
730	12682	4666
731	12699	4649
732	12713	4630
733	12725	4611
734	12742	4594
735	12756	4575
736	12772	4558
737	12789	4540
738	12809	4524
739	12828	4507
740	12841	4488
741	12861	4472
742	12875	4453
743	12888	4434
744	12902	4416
745	12920	4399
746	12935	4381
747	12949	4362
748	12963	4344
749	12977	4325
750	12997	4309
751	13014	4291
752	13031	4274
753	13047	4256
754	13064	4239
755	13080	4221
756	13096	4204
757	13112	4186
758	13126	4167
759	13141	4149
760	13158	4132
761	13176	4115
762	13196	4099
763	13219	4083
764	13231	4064
765	13249	4047
766	13268	4030
767	13282	4012
768	13296	3994
769	13315	3977
770	13328	3958
771	13342	3940
772	13357	3922
773	13374	3905
774	13388	3886
775	13401	3868
776	13420	3851
777	13433	3833
778	13450	3815
779	13463	3797
780	13482	3780
781	13502	3764
782	13521	3747
783	13536	3729
784	13552	3711
785	13569	3694
786	13582	3676
787	13600	3658
788	13615	3641
789	13629	3623
790	13642	3604
791	13660	3587
792	13673	3569
793	13694	3552
794	13713	3536
795	13732	3519
796	13751	3502
797	13768	3485
798	13791	3469
799	13810	3452
800	13825	3434
801	13848	3418
802	13864	3401
803	13886	3385
804	13907	3368
805	13924	3351
806	13944	3334
807	13961	3317
808	13980	3300
809	14001	3284
810	14018	3266
811	14037	3250
812	14061	3234
813	14078	3217
814	14095	3199
815	14111	3181
816	14125	3164
817	14145	3147
818	14162	3130
819	14180	3112
820	14198	3095
821	14216	3078
822	14232	3060
823	14250	3043
824	14264	3025
825	14279	3008
826	14305	2992
827	14325	2975
828	14344	2958
829	14364	2942
830	14378	2924
831	14397	2907
832	14414	2889
833	14427	2871
834	14442	2853
835	14457	2836
836	14483	2820
837	14501	2803
838	14519	2786
839	14541	2769
840	14566	2753
841	14584	2736
842	14602	2719
843	14620	2702
844	14640	2685
845	14658	2668
846	14676	2651
847	14692	2633
848	14714	2617
849	14728	2599
850	14745	2581
851	14761	2564
852	14779	2546
853	14795	2529
854	14810	2511
855	14826	2494
856	14840	2476
857	14860	2459
858	14877	2442
859	14896	2425
860	14910	2407
861	14928	2389
862	14944	2372
863	14965	2355
864	14981	2338
865	14995	2320
866	15010	2302
867	15028	2285
868	15050	2268
869	15071	2252
870	15084	2234
871	15099	2216
872	15115	2198
873	15133	2181
874	15155	2165
875	15181	2149
876	15199	2131
877	15215	2114
878	15229	2096
879	15247	2079
880	15270	2062
881	15286	2045
882	15306	2028
883	15321	2010
884	15339	1993
885	15357	1975
886	15371	1958
887	15385	1940
888	15401	1923
889	15419	1905
890	15433	1888
891	15448	1870
892	15468	1853
893	15484	1835
894	15500	1818
895	15519	1801
896	15534	1783
897	15552	1766
898	15571	1749
899	15590	1732
900	15604	1714
901	15627	1697
902	15652	1681
903	15666	1663
904	15682	1646
905	15698	1628
906	15719	1611
907	15735	1594
908	15752	1577
909	15770	1559
910	15791	1542
911	15810	1525
912	15827	1508
913	15842	1490
914	15865	1473
915	15883	1456
916	15903	1439
917	15926	1422
918	15943	1405
919	15964	1388
920	15982	1370
921	15999	1353
922	16014	1336
923	16031	1318
924	16047	1301
925	16063	1283
926	16079	1266
927	16096	1248
928	16116	1231
929	16138	1214
930	16156	1197
931	16169	1179
932	16185	1162
933	16202	1144
934	16216	1127
935	16232	1109
936	16248	1092
937	16265	1075
938	16280	1057
939	16297	1040
940	16313	1022
941	16330	1005
942	16351	988
943	16370	971
944	16384	953
945	16400	936
946	16421	919
947	16441	901
948	16460	884
949	16476	867
950	16491	849
951	16508	832
952	16527	815
953	16545	797
954	16562	780
955	16585	763
956	16603	746
957	16619	728
958	16636	711
959	16653	693
960	16669	676
961	16688	659
962	16705	641
963	16721	624
964	16740	607
965	16765	590
966	16792	573
967	16813	555
968	16839	538
969	16857	521
970	16875	504
971	16890	486
972	16905	469
973	16921	451
974	16940	434
975	16956	416
976	16977	399
977	16993	382
978	17013	364
979	17029	347
980	17043	330
981	17059	312
