iter	RMSE
0	0.1063106253
1	0.09565565924
2	0.08612994689
3	0.07751613271
4	0.069806448
5	0.06286570265
6	0.05665934704
7	0.05106369141
8	0.04603140144
9	0.04154637432
10	0.03749382911
11	0.03383248501
12	0.03056383056
13	0.02765123521
14	0.02499868724
15	0.02262861951
16	0.02050389466
17	0.0186137053
18	0.01693270705
19	0.0154226234
20	0.01408716868
21	0.01289055015
22	0.01182489242
23	0.0108704632
24	0.01003137167
25	0.00930102621
26	0.008670199509
27	0.008113044877
28	0.00761772519
29	0.007186263214
30	0.006812854591
31	0.006492470406
32	0.006218027548
33	0.005986066026
34	0.005789099802
35	0.005623262637
36	0.005478971871
37	0.005359114639
38	0.005251395074
39	0.005165298105
40	0.005086346681
41	0.005014977515
42	0.004955029857
43	0.004893398768
44	0.004833299027
45	0.004776788049
46	0.004736756437
47	0.004695668126
48	0.004662050649
49	0.004623412686
50	0.004577747142
51	0.004540112031
52	0.004513098492
53	0.004476714811
54	0.004449136075
55	0.004419974911
56	0.004389440112
57	0.004358035125
58	0.004338014442
59	0.00430817579
60	0.00428692555
61	0.004262354
62	0.004244314992
63	0.00422116959
64	0.004196942221
65	0.004178190273
66	0.004147595345
67	0.004125885933
68	0.004101716035
69	0.004080691782
70	0.004066145916
71	0.004058018852
72	0.004048159906
73	0.004026683768
74	0.004010021986
75	0.003993506792
76	0.003982237216
77	0.003973252613
78	0.003960817861
79	0.003935485717
80	0.003921237426
81	0.003911052456
82	0.003892338726
83	0.003864838711
84	0.003857587303
85	0.003848131502
86	0.003840776969
87	0.00383036957
88	0.003812870938
89	0.003806763287
90	0.003797786648
91	0.003789546045
92	0.003776813631
93	0.003754116868
94	0.003738742212
95	0.003724890686
96	0.003698099196
97	0.003694452021
98	0.003688956067
99	0.003663946156
100	0.003649878978
101	0.003627829166
102	0.003613583048
103	0.003607468348
104	0.003595290437
105	0.003578143337
106	0.00356149887
107	0.003556960124
108	0.003541907701
109	0.003535154668
110	0.003531127363
111	0.003528466177
112	0.003525455797
113	0.003513145655
114	0.00350666157
115	0.003485423094
116	0.003471641808
117	0.003459099223
118	0.003432894843
119	0.003411989101
